Unnamed: 0	sub_id	ses_id	block_no	trial_no	phase_type	phase_no	phase_length	trialInPhase_no	phase_type_order	color_left	color_right	color1	color2	position1	position2	prob1	prob2	mag1	mag2	ev1	ev2	outcome1	outcome2	prob_left	prob_right	mag_left	mag_right	ev_left	ev_right	reward_validity	resp_time	resp_key	timeout	choice_side	choice	ev_corr_resp	ev_correct	prob_corr_resp	prob_correct	mag_corr_resp	mag_correct	high_prob	high_prob_side	high_prob_color	low_prob_color	no_brain	reward	name	version	proj_id	logFileID
0	7	1	1	1	stable	1	200	1	sv	purple	turquoise	turquoise	purple	right	left	0.7	0.30000000000000004	2	6	1.4	1.8000000000000005	1	0	0.30000000000000004	0.7	6	2	1.8000000000000005	1.4	valid	1.2329948990009143	51200	0	0	2	51200	1	53248	0	51200	1	0.7	53248	turquoise	purple	0	0	ml	2.7.3	lorasick	sub-07_ses-01_task-ml_proj-lorasick_2021-01-13-14-01-56.936892
1	7	1	1	2	stable	1	200	2	sv	purple	turquoise	turquoise	purple	right	left	0.7	0.30000000000000004	4	6	2.8	1.8000000000000005	1	0	0.30000000000000004	0.7	6	4	1.8000000000000005	2.8	valid	0.516554587000428	53248	0	1	1	53248	1	53248	1	51200	0	0.7	53248	turquoise	purple	0	4	ml	2.7.3	lorasick	sub-07_ses-01_task-ml_proj-lorasick_2021-01-13-14-01-56.936892
2	7	1	1	3	stable	1	200	3	sv	purple	turquoise	turquoise	purple	right	left	0.7	0.30000000000000004	4	6	2.8	1.8000000000000005	1	0	0.30000000000000004	0.7	6	4	1.8000000000000005	2.8	valid	0.4165826560019923	53248	0	1	1	53248	1	53248	1	51200	0	0.7	53248	turquoise	purple	0	4	ml	2.7.3	lorasick	sub-07_ses-01_task-ml_proj-lorasick_2021-01-13-14-01-56.936892
3	7	1	1	4	stable	1	200	4	sv	purple	turquoise	turquoise	purple	right	left	0.7	0.30000000000000004	2	6	1.4	1.8000000000000005	1	0	0.30000000000000004	0.7	6	2	1.8000000000000005	1.4	valid	0.6331804379988171	53248	0	1	1	51200	0	53248	1	51200	0	0.7	53248	turquoise	purple	0	2	ml	2.7.3	lorasick	sub-07_ses-01_task-ml_proj-lorasick_2021-01-13-14-01-56.936892
4	7	1	1	5	stable	1	200	5	sv	purple	turquoise	turquoise	purple	right	left	0.7	0.30000000000000004	10	2	7.0	0.6000000000000001	1	0	0.30000000000000004	0.7	2	10	0.6000000000000001	7.0	valid	0.7498188139979902	53248	0	1	1	53248	1	53248	1	53248	1	0.7	53248	turquoise	purple	1	10	ml	2.7.3	lorasick	sub-07_ses-01_task-ml_proj-lorasick_2021-01-13-14-01-56.936892
5	7	1	1	6	stable	1	200	6	sv	turquoise	purple	turquoise	purple	left	right	0.7	0.30000000000000004	10	2	7.0	0.6000000000000001	1	0	0.7	0.30000000000000004	10	2	7.0	0.6000000000000001	valid	0.6498372700007167	51200	0	0	1	51200	1	51200	1	51200	1	0.7	51200	turquoise	purple	1	10	ml	2.7.3	lorasick	sub-07_ses-01_task-ml_proj-lorasick_2021-01-13-14-01-56.936892
6	7	1	1	7	stable	1	200	7	sv	turquoise	purple	turquoise	purple	left	right	0.7	0.30000000000000004	4	6	2.8	1.8000000000000005	1	0	0.7	0.30000000000000004	4	6	2.8	1.8000000000000005	valid	0.4998825379989285	51200	0	0	1	51200	1	51200	1	53248	0	0.7	51200	turquoise	purple	0	4	ml	2.7.3	lorasick	sub-07_ses-01_task-ml_proj-lorasick_2021-01-13-14-01-56.936892
7	7	1	1	8	stable	1	200	8	sv	turquoise	purple	turquoise	purple	left	right	0.7	0.30000000000000004	4	6	2.8	1.8000000000000005	1	0	0.7	0.30000000000000004	4	6	2.8	1.8000000000000005	valid	0.5332038220003597	51200	0	0	1	51200	1	51200	1	53248	0	0.7	51200	turquoise	purple	0	4	ml	2.7.3	lorasick	sub-07_ses-01_task-ml_proj-lorasick_2021-01-13-14-01-56.936892
8	7	1	1	9	stable	1	200	9	sv	turquoise	purple	turquoise	purple	left	right	0.7	0.30000000000000004	4	2	2.8	0.6000000000000001	1	0	0.7	0.30000000000000004	4	2	2.8	0.6000000000000001	valid	0.3665929420021712	51200	0	0	1	51200	1	51200	1	51200	1	0.7	51200	turquoise	purple	1	4	ml	2.7.3	lorasick	sub-07_ses-01_task-ml_proj-lorasick_2021-01-13-14-01-56.936892
9	7	1	1	10	stable	1	200	10	sv	turquoise	purple	turquoise	purple	left	right	0.7	0.30000000000000004	2	4	1.4	1.2000000000000002	1	0	0.7	0.30000000000000004	2	4	1.4	1.2000000000000002	valid	0.4665565100003733	51200	0	0	1	51200	1	51200	1	53248	0	0.7	51200	turquoise	purple	0	2	ml	2.7.3	lorasick	sub-07_ses-01_task-ml_proj-lorasick_2021-01-13-14-01-56.936892
